Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
"Congo, Rep.",COG,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,5830.295612,AFRICA
"Congo, Rep.",COG,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,79.06012785,AFRICA
"Congo, Rep.",COG,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,1513.12707,AFRICA
"Congo, Rep.",COG,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,72.92882714,AFRICA
Costa Rica,CRI,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,13030.39279,LATIN AMERICA
Costa Rica,CRI,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,88.42373221,LATIN AMERICA
Costa Rica,CRI,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,10243.60644,LATIN AMERICA
Costa Rica,CRI,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,84.25944327,LATIN AMERICA
Côte d'Ivoire,CIV,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,2668.892946,AFRICA
Côte d'Ivoire,CIV,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,62.37067246,AFRICA
Côte d'Ivoire,CIV,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,1979.247061,AFRICA
Côte d'Ivoire,CIV,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,58.05575181,AFRICA
Croatia,HRV,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,20308.31378,Eurostat-OECD
Croatia,HRV,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,91.62184244,Eurostat-OECD
Croatia,HRV,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,13739.76232,Eurostat-OECD
Croatia,HRV,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,92.52789298,Eurostat-OECD
Curaçao,CUW,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,27780.8013,CARIBBEAN
Curaçao,CUW,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,93.08932498,CARIBBEAN
Curaçao,CUW,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,20689.76926,CARIBBEAN
Curaçao,CUW,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,92.65029918,CARIBBEAN
Cyprus,CYP,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,31228.68946,Eurostat-OECD
Cyprus,CYP,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,120.6070611,Eurostat-OECD
Cyprus,CYP,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,22956.69667,Eurostat-OECD
Cyprus,CYP,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,121.3537513,Eurostat-OECD
Czech Republic,CZE,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,27045.44372,Eurostat-OECD
Czech Republic,CZE,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,98.18169123,Eurostat-OECD
Czech Republic,CZE,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,16630.81458,Eurostat-OECD
Czech Republic,CZE,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,94.75616748,Eurostat-OECD
Denmark,DNK,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,41842.74561,Eurostat-OECD
Denmark,DNK,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,185.0037077,Eurostat-OECD
